pertanyaan,jawaban
Kost berdasarkan harga '...' sampai '...'?,"Berikut pilihan kost dalam rentang harga tersebut:
• Kost Mawar — Rp1.000.000/bulan (AC, Kamar Mandi Dalam)
• Kost Melati — Rp1.200.000/bulan (AC, WiFi, Parkir Motor)
• Kost Anggrek — Rp1.500.000/bulan (Lengkap, Dapur Bersama)"
Berapa harga sewa per bulan?,"Harga sewa bervariasi tergantung tipe kamar:
• Kamar Standard: Rp1.000.000
• Kamar AC + Kamar Mandi Dalam: Rp1.300.000
• Kamar Full Furnished: Rp1.500.000"
Apa saja fasilitas yang tersedia?,"Fasilitas umum yang tersedia antara lain:
• Tempat tidur & lemari
• WiFi
• AC (tergantung kamar)
• Kamar mandi dalam/luar
• Laundry (opsional)
• Parkiran motor
• CCTV 24 jam
• Dapur bersama
• Kulkas bersama (untuk beberapa kost)"
Apakah kamar mandi di dalam atau luar?,"Tersedia dua tipe:
• Kamar mandi dalam
• Kamar mandi luar (dengan harga lebih ekonomis)"
Apakah tersedia parkiran untuk motor/mobil?,"• Parkiran motor: ✅ Tersedia
• Parkiran mobil: ❌ Tidak semua kost menyediakan, silakan cek detail masing-masing kost"
"Apakah kost campur, khusus putra, atau khusus putri?","Jenis kost tersedia:
• Kost khusus putra
• Kost khusus putri
• Kost campur (dengan aturan ketat)"
Apakah ada jam malam?,"Jam malam berlaku mulai pukul 22.00 WIB.
Beberapa kost memberikan akses kunci pribadi untuk penghuni."
Apakah bisa sewa harian/mingguan/bulanan?,"Ya, tersedia skema:
• Harian: mulai Rp100.000
• Mingguan: mulai Rp600.000
• Bulanan: mulai Rp1.000.000"
Apakah bisa booking dulu sebelum bayar?,"Ya, Anda bisa booking gratis selama 24 jam.
Setelah itu, perlu bayar DP untuk mengunci kamar."
Bagaimana cara bayar dan sistem sewa?,"Pembayaran dilakukan di awal bulan, melalui:
• Transfer bank
• E-wallet (OVO, GoPay, dll)
• Tunai langsung ke pemilik
Notifikasi jatuh tempo akan dikirim lewat aplikasi."
Apakah bisa bayar via transfer?,"Ya. Rekening transfer akan diberikan saat proses pemesanan.
Contoh: BCA 123456789 a.n. Ibu Kost Mawar"
Bagaimana cara memesan kamar?,"Langkah pemesanan:
1. Pilih kost yang diinginkan
2. Klik tombol ""Pesan Sekarang""
3. Buat akun pengguna
4. Isi data diri
5. Lakukan pembayaran awal (jika diminta)
6. Tunggu konfirmasi
7. Serah terima kunci di lokasi kost"
Apakah kost menerima pasutri?,"• ✅ Ya, tersedia kamar khusus pasutri
• ❌ Tidak semua kost menerima, silakan cek info kost terkait"
Boleh tidak membawa hewan peliharaan?,"• ❌ Tidak diperbolehkan di sebagian besar kost
• ✅ Diizinkan jika tidak mengganggu dan menjaga kebersihan (tergantung kost)"
Apakah tersedia kulkas?,"• Kulkas bersama: ✅ Tersedia di dapur umum
• Kulkas pribadi: ✅ Hanya di kamar tipe deluxe"
Apakah tersedia dapur untuk memasak?,"Ya, dapur umum tersedia dengan:
• Kompor
• Wastafel
• Rak peralatan
Harap menjaga kebersihan bersama."
